6018		397.1
6019		397.1
6020		397.1
6021		397.1
6022		397.1
6023		397.1
6024		397.1
6025		397.1
6026		397.05
6027		397.05
6028		397.05
6029		397.05
6030		397.1
6031		397.1
6032		397.1
6033		397.1
6034		397.1
6035		397.1
6036		397.1
6037		397.1
6038		397.1
6039		397.1
6040		397.1
6041		397.1
6042		397.1
6043		397.1
6044		397.05
6045		397.05
6046		397.05
6047		397.05
6048		397.05
6049		399
6050		399
6051		399
6052		399
6053		399
6054		399
6055		399
6056		399
6057		399
6058		399
6059		399.03
6060		399.03
6061		399.03
6062		399.03
6063		399.03
6064		399.03
6065		399.1
6066		399.1
6067		399.1
6068		399.1
6069		399.1
6070		397.1
6071		397.1
6072		397.1
6073		397.1
6074		397.1
6075		397.1
6076		397.1
6077		397.1
6078		397.1
6079		397.1
6080		399.1
6081		399.1
6082		399.1
6083		399.1
6084		399.1
6085		399.1
6086		399.1
6087		399.1
6088		399.1
6089		399.1
6090		399.1
6091		399.05
6092		399
6093		399
6094		399
6095		399
6096		399
6097		399
6098		399
6099		399.05
6100		399.05
6101		399.05
6102		399.05
6103		399.05
6104		399.05
6105		399.05
6106		399.05
6107		399.05
6108		399.05
6109		399.05
6110		399.05
6111		399.05
6112		399.05
6113		399.05
6114		399.05
6115		399.05
6116		399.05
6117		399.05
6118		399.05
6119		399.05
6120		399.05
6121		399.05
6122		399.05
6123		399.05
6124		399.05
6125		399.05
6126		399
6127		399
6128		399
6129		398.95
6130		396.95
6131		396.95
6132		396.95
6133		396.95
6134		396.95
6135		396.95
6136		396.95
6137		396.95
6138		396.95
6139		396.95
6140		396.95
6141		396.95
6142		396.95
6143		396.95
6144		396.95
6145		401.05
6146		401.05
6147		401.05
6148		401.05
6149		401.05
6150		401.05
6151		401.05
6152		401.05
6153		401.05
6154		401.05
6155		401.05
6156		401.05
6157		401.05
6158		401.05
6159		401.05
6160		401.05
6161		401.05
6162		401.05
6163		401.05
6164		401.05
6165		401.05
6166		401.05
6167		401.05
6168		401.05
6169		401.05
6170		401.05
6171		401.05
6172		401.05
6173		401.05
6174		401.05
6175		401.05
6176		401.00
6177		401.00
6178		401.00
6179		396.95
6180		396.95
6181		396.95
6182		396.95
6183		396.95
6184		396.95
6185		396.95
6186		396.95
6187		396.95
