run	Rate	curr	pcal	hcal	hcer	aero	htrack	ptrack	TLT	boil	fadc	total	hgcer_rf_later	note fadc does not include htrig3 rate
7675	90.7	41.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9950	0.9893	0.9955	0.8782		
7676	90.7	41.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9950	0.9893	0.9955	0.8782		
7677	90.7	41.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9950	0.9893	0.9955	0.8782		
7678	102.6	6.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9946	0.9982	0.9949	0.8852		
7679	501.5	31.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9794	0.9917	0.9749	0.8487		
7680	501.5	31.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9794	0.9917	0.9749	0.8486		
7681	501.6	31.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9794	0.9917	0.9749	0.8486		
7682	500.7	31.8	0.96	0.994	0.98	0.968	0.995	0.995	0.9794	0.9917	0.9750	0.8487		
7684	521.0	17.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9786	0.9955	0.9740	0.8504		
7685	513.9	17.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9789	0.9955	0.9743	0.8509		
7686	514.5	17.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9789	0.9955	0.9743	0.8509		
7687	514.4	17.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9789	0.9955	0.9743	0.8509		
7688	514.8	17.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9789	0.9955	0.9743	0.8509		
7689	520.8	17.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9786	0.9955	0.9740	0.8504		
7690	517.9	17.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9788	0.9955	0.9741	0.8506		
7692	515.8	17.3	0.96	0.994	0.98	0.968	0.995	0.995	0.9788	0.9955	0.9742	0.8508		
